comparison,left_model,right_model,bucket,sample_count,delta_HR@1,delta_NDCG@5,delta_MRR,delta_mean_rank,evidence_status
N-K0_minus_M1,N-K0,M1,<=10,26,0.0384615385,0.0232857716,0.0307692308,-0.1153846154,computed
N-K0_minus_M1,N-K0,M1,11-50,199,0.0904522613,0.0312876421,0.0428810721,-0.0402010051,computed
N-K0_minus_M1,N-K0,M1,51-200,854,0.0304449649,0.0127557775,0.0171935988,-0.037470726,computed
N-K0_minus_M1,N-K0,M1,201-500,1497,0.0213760855,0.0111314375,0.0147962592,-0.0474281898,computed
N-K0_minus_M1,N-K0,M1,>500,3099,0.0167796063,0.0077743728,0.0103528019,-0.0342045821,computed
SASRec exp-match_minus_N-K0,SASRec exp-match,N-K0,<=10,26,-0.3846153846,-0.2213816818,-0.2903846154,1.3076923077,computed
SASRec exp-match_minus_N-K0,SASRec exp-match,N-K0,11-50,199,-0.2814070352,-0.1489287201,-0.1966499163,0.7738693468,computed
SASRec exp-match_minus_N-K0,SASRec exp-match,N-K0,51-200,854,-0.3372365339,-0.1845406665,-0.243423107,0.9672131148,computed
SASRec exp-match_minus_N-K0,SASRec exp-match,N-K0,201-500,1497,-0.3139612558,-0.1725165602,-0.2273992429,0.9198396794,computed
SASRec exp-match_minus_N-K0,SASRec exp-match,N-K0,>500,3099,-0.2407228138,-0.1356735653,-0.17861138,0.738625363,computed
SASRec s47_minus_N-K0,SASRec s47,N-K0,<=10,26,-0.3461538462,-0.2162774345,-0.2826923077,1.3461538462,computed
SASRec s47_minus_N-K0,SASRec s47,N-K0,11-50,199,-0.3015075377,-0.1540756232,-0.2039363484,0.7638190955,computed
SASRec s47_minus_N-K0,SASRec s47,N-K0,51-200,854,-0.3266978923,-0.1741540301,-0.2299180328,0.9051522249,computed
SASRec s47_minus_N-K0,SASRec s47,N-K0,201-500,1497,-0.299265197,-0.164103323,-0.2164662659,0.8590514363,computed
SASRec s47_minus_N-K0,SASRec s47,N-K0,>500,3099,-0.2239432075,-0.1275507908,-0.1679358933,0.6889319135,computed
SASRec s1500_minus_N-K0,SASRec s1500,N-K0,<=10,26,-0.1923076923,-0.1155226212,-0.1512820513,0.6923076923,computed
SASRec s1500_minus_N-K0,SASRec s1500,N-K0,11-50,199,-0.0251256282,-0.0034113351,-0.0054438861,-0.0552763819,computed
SASRec s1500_minus_N-K0,SASRec s1500,N-K0,51-200,854,0.0550351288,0.0300231045,0.0396174863,-0.1569086651,computed
SASRec s1500_minus_N-K0,SASRec s1500,N-K0,201-500,1497,0.0674682699,0.0324423159,0.0431307058,-0.1462925851,computed
SASRec s1500_minus_N-K0,SASRec s1500,N-K0,>500,3099,0.0693772185,0.0345747558,0.0458803916,-0.160696999,computed
SASRec s3000_minus_N-K0,SASRec s3000,N-K0,<=10,26,-0.2307692308,-0.1304224023,-0.1711538461,0.7692307692,computed
SASRec s3000_minus_N-K0,SASRec s3000,N-K0,11-50,199,0.040201005,0.0281923829,0.0367671692,-0.175879397,computed
SASRec s3000_minus_N-K0,SASRec s3000,N-K0,51-200,854,0.0878220141,0.0457464776,0.0605581577,-0.2236533957,computed
SASRec s3000_minus_N-K0,SASRec s3000,N-K0,201-500,1497,0.07748831,0.0380088801,0.0505232688,-0.1696726786,computed
SASRec s3000_minus_N-K0,SASRec s3000,N-K0,>500,3099,0.0800258148,0.0413097122,0.0547165753,-0.198773798,computed
