model,bucket,sample_count,HR@1,NDCG@5,MRR,mean_rank,evidence_status,prediction_path
N-K0,<=10,26,0.5,0.7722156998,0.6955128205,1.8846153846,computed_from_prediction_file,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_popmatch_eval/n_test_predictions.jsonl
N-K0,11-50,199,0.5326633166,0.7704070304,0.6949748744,2.040201005,computed_from_prediction_file,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_popmatch_eval/n_test_predictions.jsonl
N-K0,51-200,854,0.5913348946,0.8100663737,0.7467213115,1.7927400468,computed_from_prediction_file,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_popmatch_eval/n_test_predictions.jsonl
N-K0,201-500,1497,0.588510354,0.8108894302,0.7476397239,1.7768871075,computed_from_prediction_file,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_popmatch_eval/n_test_predictions.jsonl
N-K0,>500,3099,0.515327525,0.7730332778,0.6975099494,1.9599870926,computed_from_prediction_file,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_popmatch_eval/n_test_predictions.jsonl
M1,<=10,26,0.4615384615,0.7489299282,0.6647435897,2.0,computed_from_prediction_file,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_popmatch_eval/m_n_test_predictions.jsonl
M1,11-50,199,0.4422110553,0.7391193883,0.6520938023,2.0804020101,computed_from_prediction_file,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_popmatch_eval/m_n_test_predictions.jsonl
M1,51-200,854,0.5608899297,0.7973105962,0.7295277127,1.8302107728,computed_from_prediction_file,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_popmatch_eval/m_n_test_predictions.jsonl
M1,201-500,1497,0.5671342685,0.7997579927,0.7328434647,1.8243152973,computed_from_prediction_file,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_popmatch_eval/m_n_test_predictions.jsonl
M1,>500,3099,0.4985479187,0.765258905,0.6871571475,1.9941916747,computed_from_prediction_file,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_popmatch_eval/m_n_test_predictions.jsonl
SASRec exp-match,<=10,26,0.1153846154,0.550834018,0.4051282051,3.1923076923,computed_from_prediction_file,/root/llamarec/outputs/baselines/movielens-1m/sasrec_exp_match_k5_popmatch_seed42_s23/n_test_predictions.jsonl
SASRec exp-match,11-50,199,0.2512562814,0.6214783103,0.4983249581,2.8140703518,computed_from_prediction_file,/root/llamarec/outputs/baselines/movielens-1m/sasrec_exp_match_k5_popmatch_seed42_s23/n_test_predictions.jsonl
SASRec exp-match,51-200,854,0.2540983607,0.6255257072,0.5032982045,2.7599531616,computed_from_prediction_file,/root/llamarec/outputs/baselines/movielens-1m/sasrec_exp_match_k5_popmatch_seed42_s23/n_test_predictions.jsonl
