family,run,split,status,actual_exposure,HR@1,NDCG@5,MRR
N-K0,N24,validation,complete,24000,0.5774449339,0.8067686847,0.7420058737
N-K0,N48,validation,complete,48000,0.6029955947,0.8200163654,0.7595418502
N-K0,N96,validation,complete,96000,0.6237885463,0.8302923694,0.7732422907
N-K0,N200,validation,complete,200000,0.6516299559,0.8431902590,0.7904170338
SASRec,sasrec_s23,test,validation_needed,11776,0.2699559471,0.6348928207,0.5156622614
SASRec,sasrec_s47,test,validation_needed,24064,0.2840528634,0.6429537473,0.5261879589
SASRec,sasrec_s94,validation,planned,48128,,,
SASRec,sasrec_s188,validation,planned,96256,,,
SASRec,sasrec_s391,validation,planned,200000,,,
SASRec,sasrec_s1500,test,repeated_anchor,767424,0.6088105727,0.8198039644,0.7595506608
SASRec,sasrec_s3000,test,repeated_anchor,1534656,0.6243171806,0.8283562609,0.7708663730
