model,run,split,exposure,HR@1,NDCG@5,MRR
Y-K0,Y24,validation,24000,0.2156828194,0.6002715889,0.4704082232
Y-K0,Y48,validation,48000,0.2165638767,0.5994649797,0.4694772394
Y-K0,Y24,test,24000,0.2045814978,0.5936288326,0.4617444934
Y-K0,Y48,test,48000,0.2000000000,0.5899793848,0.4570337739
N-K0,N24,validation,24000,0.5774449339,0.8067686847,0.7420058737
N-K0,N48,validation,48000,0.6029955947,0.8200163654,0.7595418502
N-K0,N96,validation,96000,0.6237885463,0.8302923694,0.7732422907
N-K0,N200,validation,200000,0.6516299559,0.8431902590,0.7904170338
N-K0,N24,test,24000,0.5612334802,0.7968087155,0.7289720999
N-K0,N48,test,48000,0.5869603524,0.8106805727,0.7472687225
N-K0,N96,test,96000,0.6100440529,0.8218966233,0.7622026432
N-K0,N200,test,200000,0.6281938326,0.8318910144,0.7753803231
