run,status,optimizer_steps,batch_size,actual_exposure,target_exposure,mismatch_pct,split,HR@1,HR@5,NDCG@5,MRR,next_action
sasrec_s23,complete_fresh_alignment,23,512,11776,12000,-1.8667,validation,0.2523348018,1.0,0.6229138773,0.4999765051,complete
sasrec_s23,complete_fresh_alignment,23,512,11776,12000,-1.8667,test,0.2743612335,1.0,0.6367905572,0.5181938326,report_only
sasrec_s47,complete_fresh_alignment,47,512,24064,24000,0.2667,validation,0.2731277533,1.0,0.6364143897,0.5176035242,complete
sasrec_s47,complete_fresh_alignment,47,512,24064,24000,0.2667,test,0.2903964758,1.0,0.6457596182,0.5299647577,report_only
sasrec_s94,complete_fresh_alignment,94,512,48128,48000,0.2667,validation,0.2930396476,1.0,0.6480369393,0.5328986784,complete
sasrec_s94,complete_fresh_alignment,94,512,48128,48000,0.2667,test,0.3022026432,1.0,0.6543566640,0.5411395007,report_only
sasrec_s188,complete_fresh_alignment,188,512,96256,96000,0.2667,validation,0.3281057269,1.0,0.6716306227,0.5636093979,complete
sasrec_s188,complete_fresh_alignment,188,512,96256,96000,0.2667,test,0.3309251101,1.0,0.6719289950,0.5641527166,report_only
sasrec_s391,complete_fresh_alignment,391,512,200000,200000,0.0000,validation,0.4748898678,1.0,0.7561054438,0.6746901615,complete
sasrec_s391,complete_fresh_alignment,391,512,200000,200000,0.0000,test,0.4511013216,1.0,0.7422500032,0.6564963289,report_only
sasrec_s1500,existing_high_repeated_anchor,1500,512,767424,200000,283.7120,test,0.6088105727,,0.8198039644,0.7595506608,report_as_repeated_exposure_anchor
sasrec_s3000,existing_high_repeated_anchor,3000,512,1534656,200000,667.3280,test,0.6243171806,,0.8283562609,0.7708663730,report_as_repeated_exposure_anchor
