model,point,N-task sample exposure,HR@1,NDCG@5,MRR,status
N-K0,n_s375,3000,0.4313656388,0.7260192668,0.6355653451,existing_test
N-K0,n_s750,6000,0.5222907489,0.7761254710,0.7016299559,existing_test
N-K0,n_s1500,12000,0.5466079295,0.7884963692,0.7180411160,existing_test
N-K0,n_s3000_valid,24000,0.5774449339,0.8067686847,0.7420058737,validated_valid
N-K0,n_s6000_valid,48000,0.6029955947,0.8200163654,0.7595418502,validated_valid
N-K0,n_s12000_valid,96000,0.6237885463,0.8302923694,0.7732422907,validated_valid
N-K0,n_s25000_valid,200000,0.6516299559,0.8431902590,0.7904170338,validated_valid_near_full_pool
SASRec,sasrec_s23,11776,0.2699559471,0.6348928207,0.5156622614,existing
SASRec,sasrec_s47,24064,0.2840528634,0.6429537473,0.5261879589,existing
SASRec,sasrec_s1500,767424,0.6088105727,0.8198039644,0.7595506608,existing_high_anchor
SASRec,sasrec_s3000,1534656,0.6243171806,0.8283562609,0.7708663730,existing_high_anchor
