model,exposure,split,samples,HR@1,HR@5,NDCG@5,MRR,source,status
Y-K0,24k,valid,5675,0.21568281938325992,1.0,0.6002715889288075,0.4704082232011741,user_cloud_eval,do_not_extend_y
Y-K0,48k,valid,5675,0.21656387665198237,1.0,0.5994649796529716,0.4694772393538908,user_cloud_eval,do_not_extend_y
Y-K0,24k,test,5675,0.20458149779735682,1.0,0.5936288326168389,0.46174449339207,user_cloud_eval,report_only
Y-K0,48k,test,5675,0.2,1.0,0.5899793848014819,0.45703377386196625,user_cloud_eval,report_only
N-K0,24k,valid,5675,0.5774449339207048,1.0,0.8067686847119664,0.7420058737151267,user_cloud_eval,baseline_for_n48
N-K0,48k,valid,5675,0.6029955947136564,1.0,0.8200163654450883,0.7595418502202651,user_cloud_eval,baseline_for_n96
N-K0,96k,valid,5675,0.6237885462555066,1.0,0.8302923694115494,0.7732422907488986,user_cloud_eval,baseline_for_n200
N-K0,200k,valid,5675,0.6516299559471366,1.0,0.8431902589514273,0.7904170337738623,user_cloud_eval,near_full_pool_final_candidate
N-K0,24k,test,5675,0.5612334801762114,1.0,0.7968087155362381,0.7289720998531606,user_cloud_eval,report_only
N-K0,48k,test,5675,0.5869603524229074,1.0,0.810680572706264,0.7472687224669623,user_cloud_eval,report_only
N-K0,96k,test,5675,0.6100440528634361,1.0,0.8218966232520356,0.7622026431718063,user_cloud_eval,report_only
N-K0,200k,test,5675,0.628193832599119,1.0,0.8318910144172539,0.775380323054333,user_cloud_eval,report_only
