model,seed,regime,candidate_protocol,binary_AUC,binary_F1,binary_Accuracy,binary_samples,HR@1,NDCG@5,MRR,ranking_samples,run_seed,evidence_status,metrics_path,run_summary_path
Y-K0,42,binary_preference,k5_popmatch_seed42,0.769096677,0.7799722571,0.7114518365,11544,0.304845815,0.6503957066,0.5365521292,5675,unavailable,computed,/root/llamarec/outputs/y/movielens-1m/pool200k_1m_y_1500/test_metrics.json,/root/llamarec/outputs/y/movielens-1m/pool200k_1m_y_1500/run_summary.json
Y-K0,43,binary_preference,k5_popmatch_seed42,0.7638536397,0.7770993369,0.7059078309,11544,0.1948898678,0.5869765641,0.4531071953,5675,43,computed,/root/llamarec/outputs/y/movielens-1m/pool200k_1m_y_1500_seed43/test_metrics.json,/root/llamarec/outputs/y/movielens-1m/pool200k_1m_y_1500_seed43/run_summary.json
Y-K0,44,binary_preference,k5_popmatch_seed42,0.7667400862,0.7701956507,0.707986833,11544,0.2116299559,0.5941504467,0.4627518355,5675,44,computed,/root/llamarec/outputs/y/movielens-1m/pool200k_1m_y_1500_seed44/test_metrics.json,/root/llamarec/outputs/y/movielens-1m/pool200k_1m_y_1500_seed44/run_summary.json
N-K0,42,popmatch_ranking,k5_popmatch_seed42,unavailable,unavailable,unavailable,unavailable,0.5466079295,0.7884963692,0.718041116,5675,unavailable,computed,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_popmatch_eval/test_metrics.json,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500/run_summary.json
N-K0,43,popmatch_ranking,k5_popmatch_seed42,unavailable,unavailable,unavailable,unavailable,0.5427312775,0.7869133539,0.7158825257,5675,43,computed,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_seed43_popmatch_eval/test_metrics.json,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_seed43/run_summary.json
N-K0,44,popmatch_ranking,k5_popmatch_seed42,unavailable,unavailable,unavailable,unavailable,0.5383259912,0.7831335521,0.7110044053,5675,44,computed,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_seed44_popmatch_eval/test_metrics.json,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_seed44/run_summary.json
M1,42,popmatch_ranking,k5_popmatch_seed42,0.7664368902,0.7281077294,0.6974185724,11544,0.523876652,0.778191233,0.7042525698,5675,unavailable,computed,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_popmatch_eval/test_metrics.json,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000/run_summary.json
M1,43,popmatch_ranking,k5_popmatch_seed42,0.7669426412,0.7356690329,0.700017325,11544,0.521938326,0.7767052601,0.702328928,5675,43,computed,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_seed43_popmatch_eval/test_metrics.json,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_seed43/run_summary.json
M1,44,popmatch_ranking,k5_popmatch_seed42,0.7615278434,0.6922447644,0.6741164241,11544,0.5279295154,0.7794587445,0.7059941263,5675,44,computed,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_seed44_popmatch_eval/test_metrics.json,/root/llamarec/outputs/m/movielens-1m/diag_m1_1m_m_200k_3000_seed44/run_summary.json
SASRec exp-match,42,roughly_exposure_matched,k5_popmatch_seed42,unavailable,unavailable,unavailable,unavailable,0.2699559471,0.6348928207,0.5156622614,5675,42,computed,/root/llamarec/outputs/baselines/movielens-1m/sasrec_exp_match_k5_popmatch_seed42_s23/test_metrics.json,/root/llamarec/outputs/baselines/movielens-1m/sasrec_exp_match_k5_popmatch_seed42_s23/run_summary.json
