model,point,family,N-task exposure,total exposure,optimizer steps,effective batch,HR@1,NDCG@5,MRR,samples,candidate_protocol,evidence_status,training_stop,metrics_path,run_summary_path,evaluation_summary_path
N-K0,n_s375,llm,3000,3000,375,8,0.4313656388,0.7260192668,0.6355653451,5675,k5_popmatch_seed42,computed,unavailable,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s375_popmatch_eval/test_metrics.json,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s375/run_summary.json,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s375_popmatch_eval/evaluation_summary.json
N-K0,n_s750,llm,6000,6000,750,8,0.5222907489,0.776125471,0.7016299559,5675,k5_popmatch_seed42,computed,unavailable,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s750_popmatch_eval/test_metrics.json,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s750/run_summary.json,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s750_popmatch_eval/evaluation_summary.json
N-K0,n_s1500,llm,12000,12000,1500,8,0.5466079295,0.7884963692,0.718041116,5675,k5_popmatch_seed42,computed,unavailable,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_popmatch_eval/test_metrics.json,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500/run_summary.json,/root/llamarec/outputs/n/movielens-1m/pool200k_1m_n_1500_popmatch_eval/evaluation_summary.json
N-K0,n_s3000,llm,24000,24000,3000,8,0.5612334802,0.7968087155,0.7289720999,5675,k5_popmatch_seed42,computed,unavailable,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s3000_popmatch_eval/test_metrics.json,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s3000/run_summary.json,/root/llamarec/outputs/n/movielens-1m/sample_efficiency_n_s3000_popmatch_eval/evaluation_summary.json
SASRec,sasrec_s6,sasrec,3072,3072,6,512,0.211277533,0.6011741153,0.4713597651,5675,k5_popmatch_seed42,computed,max_steps,/root/llamarec/outputs/baselines/movielens-1m/sample_efficiency_sasrec_s6_popmatch_eval/test_metrics.json,/root/llamarec/outputs/baselines/movielens-1m/sample_efficiency_sasrec_s6/run_summary.json,
SASRec,sasrec_s12,sasrec,6144,6144,12,512,0.2421145374,0.6176512047,0.4930631424,5675,k5_popmatch_seed42,computed,max_steps,/root/llamarec/outputs/baselines/movielens-1m/sample_efficiency_sasrec_s12_popmatch_eval/test_metrics.json,/root/llamarec/outputs/baselines/movielens-1m/sample_efficiency_sasrec_s12/run_summary.json,
SASRec,sasrec_s23,sasrec,11776,11776,23,512,0.2699559471,0.6348928207,0.5156622614,5675,k5_popmatch_seed42,computed,max_steps,/root/llamarec/outputs/baselines/movielens-1m/sasrec_exp_match_k5_popmatch_seed42_s23/test_metrics.json,/root/llamarec/outputs/baselines/movielens-1m/sasrec_exp_match_k5_popmatch_seed42_s23/run_summary.json,
SASRec,sasrec_s47,sasrec,24064,24064,47,512,0.2840528634,0.6429537473,0.5261879589,5675,k5_popmatch_seed42,computed,max_steps,/root/llamarec/outputs/baselines/movielens-1m/sample_efficiency_sasrec_s47_popmatch_eval/test_metrics.json,/root/llamarec/outputs/baselines/movielens-1m/sample_efficiency_sasrec_s47/run_summary.json,
SASRec,sasrec_s1500,sasrec,767424,767424,1500,512,0.6088105727,0.8198039644,0.7595506608,5675,k5_popmatch_seed42,computed,max_steps,/root/llamarec/outputs/baselines/movielens-1m/sasrec_fixed_popmatch_k5_200k_s1500_eval/test_metrics.json,/root/llamarec/outputs/baselines/movielens-1m/sasrec_fixed_canonical_k5_200k_s1500/run_summary.json,
SASRec,sasrec_s3000,sasrec,1534656,1534656,3000,512,0.6243171806,0.8283562609,0.770866373,5675,k5_popmatch_seed42,computed,max_steps,/root/llamarec/outputs/baselines/movielens-1m/sasrec_fixed_popmatch_k5_200k_s3000_eval/test_metrics.json,/root/llamarec/outputs/baselines/movielens-1m/sasrec_fixed_canonical_k5_200k_s3000/run_summary.json,
