run,exposure,split,seed,HR@1,NDCG@5,MRR
N24,24000,validation,42,0.5774449339,0.8067686847,0.7420058737
N24,24000,test,42,0.5612334802,0.7968087155,0.7289720999
N48,48000,validation,42,0.6029955947,0.8200163654,0.7595418502
N48,48000,test,42,0.5869603524,0.8106805727,0.7472687225
N96,96000,validation,42,0.6237885463,0.8302923694,0.7732422907
N96,96000,test,42,0.6100440529,0.8218966233,0.7622026432
N200,200000,validation,42,0.6516299559,0.843190259,0.7904170338
N200,200000,test,42,0.6281938326,0.8318910144,0.7753803231
M1-48,Y48k+N48k,validation,42,0.594185022,0.815324395,0.753339207
M1-48,Y48k+N48k,test,42,0.5776211454,0.8060951596,0.741195301
M1-96,Y96k+N96k,validation,42,0.6234361233,0.8291402759,0.771753304
M1-96,Y96k+N96k,test,42,0.5973568282,0.8162307888,0.7546490455
