training_seed,split,protocol,metric,specialist_value,multitask_value,delta,delta_definition
42,validation,binary,AUC,0.7843504067,0.7868352749,0.0024848682000000455,M1-Y - Y96
42,validation,binary,F1,0.7783174665,0.7838427948,0.005525328299999965,M1-Y - Y96
42,validation,binary,Accuracy,0.7235279864,0.7281318149,0.004603828499999962,M1-Y - Y96
42,validation,k5,HR@1,0.6237885463,0.6234361233,0.0003524230000000461,N96 - M1-N
42,validation,k5,NDCG@5,0.8302923694,0.8291402759,0.0011520935000000065,N96 - M1-N
42,validation,k5,MRR,0.7732422907,0.771753304,0.0014889866999999724,N96 - M1-N
42,validation,k20_seed42,HR@1,0.3890748898678414,0.27665198237885463,0.11242290748898676,N96 - M1-N
42,validation,k20_seed42,NDCG@5,0.5209809565825009,0.3940015350323287,0.12697942155017217,N96 - M1-N
42,validation,k20_seed42,MRR,0.5248862838190325,0.41863020366990455,0.10625608014912791,N96 - M1-N
42,validation,k50_seed42,HR@1,0.09585903083700441,0.07876651982378854,0.017092511013215864,N96 - M1-N
42,validation,k50_seed42,NDCG@5,0.13444222261012798,0.10548664597363892,0.028955576636489053,N96 - M1-N
42,validation,k50_seed42,MRR,0.18514489749687316,0.15931553733972098,0.025829360157152176,N96 - M1-N
43,validation,binary,AUC,0.7790875353784678,0.7881196538118724,0.009032118433404679,M1-Y - Y96
43,validation,binary,F1,0.7832388153749212,0.7868914807302231,0.003652665355301843,M1-Y - Y96
43,validation,binary,Accuracy,0.7221549147887892,0.7284548905581132,0.006299975769323951,M1-Y - Y96
43,validation,k5,HR@1,0.6280176211453744,0.625374449339207,0.002643171806167355,N96 - M1-N
43,validation,k5,NDCG@5,0.832156605352138,0.8303896742566036,0.0017669310955343853,N96 - M1-N
43,validation,k5,MRR,0.7757151248164464,0.773400881057268,0.002314243759178436,N96 - M1-N
43,validation,k20_seed42,HR@1,0.2770044052863436,0.19559471365638767,0.08140969162995595,N96 - M1-N
43,validation,k20_seed42,NDCG@5,0.37971550654226055,0.253310743481913,0.12640476306034754,N96 - M1-N
43,validation,k20_seed42,MRR,0.4152810342717859,0.3240114880542936,0.09126954621749234,N96 - M1-N
43,validation,k50_seed42,HR@1,0.07859030837004405,0.07524229074889868,0.003348017621145366,N96 - M1-N
43,validation,k50_seed42,NDCG@5,0.09854372119592648,0.09386525429234067,0.0046784669035858095,N96 - M1-N
43,validation,k50_seed42,MRR,0.1566889507715567,0.14503383958185895,0.011655111189697753,N96 - M1-N
44,validation,binary,AUC,0.7821654923930735,0.7851159777663799,0.002950485373306333,M1-Y - Y96
44,validation,binary,F1,0.7800167385566213,0.7844838425751289,0.004467104018507584,M1-Y - Y96
