training_seed,split,model,interface,protocol,candidate_seed,samples,metric,value,source
42,validation,Y96,Y,binary,,,AUC,0.7843504067,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,validation,Y96,Y,binary,,,F1,0.7783174665,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,validation,Y96,Y,binary,,,Accuracy,0.7235279864,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,test,Y96,Y,binary,,,AUC,0.7853511126,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,test,Y96,Y,binary,,,F1,0.7780238029,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,test,Y96,Y,binary,,,Accuracy,0.7221067221,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,validation,M1-96,Y,binary,,,AUC,0.7868352749,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,validation,M1-96,Y,binary,,,F1,0.7838427948,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,validation,M1-96,Y,binary,,,Accuracy,0.7281318149,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,test,M1-96,Y,binary,,,AUC,0.7864837284,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,test,M1-96,Y,binary,,,F1,0.7835646558,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,test,M1-96,Y,binary,,,Accuracy,0.7271309771,.agent/exposure_scaling/final_evidence/exposure_main_table.csv
42,validation,N96,N,k5,42,,HR@1,0.6237885463,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,N96,N,k5,42,,NDCG@5,0.8302923694,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,N96,N,k5,42,,MRR,0.7732422907,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k5,42,,HR@1,0.6234361233,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k5,42,,NDCG@5,0.8291402759,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k5,42,,MRR,0.771753304,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k5,42,,HR@1,0.6100440529,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k5,42,,NDCG@5,0.8218966233,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k5,42,,MRR,0.7622026432,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k5,42,,HR@1,0.5973568282,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k5,42,,NDCG@5,0.8162307888,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k5,42,,MRR,0.7546490455,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,N96,N,k20_seed42,42,,HR@1,0.3890748898678414,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,N96,N,k20_seed42,42,,NDCG@5,0.5209809565825009,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,N96,N,k20_seed42,42,,MRR,0.5248862838190325,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k20_seed42,42,,HR@1,0.27665198237885463,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k20_seed42,42,,NDCG@5,0.3940015350323287,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k20_seed42,42,,MRR,0.41863020366990455,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k20_seed42,42,,HR@1,0.3758590308370044,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k20_seed42,42,,NDCG@5,0.5014430507361404,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k20_seed42,42,,MRR,0.5099145579215411,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k20_seed42,42,,HR@1,0.2611453744493392,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k20_seed42,42,,NDCG@5,0.37551050733874575,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k20_seed42,42,,MRR,0.4040452485576725,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,N96,N,k50_seed42,42,,HR@1,0.09585903083700441,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,N96,N,k50_seed42,42,,NDCG@5,0.13444222261012798,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,N96,N,k50_seed42,42,,MRR,0.18514489749687316,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k50_seed42,42,,HR@1,0.07876651982378854,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k50_seed42,42,,NDCG@5,0.10548664597363892,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,validation,M1-96,N,k50_seed42,42,,MRR,0.15931553733972098,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k50_seed42,42,,HR@1,0.08299559471365639,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k50_seed42,42,,NDCG@5,0.12530579177654286,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,N96,N,k50_seed42,42,,MRR,0.17460505996585443,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k50_seed42,42,,HR@1,0.06907488986784141,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k50_seed42,42,,NDCG@5,0.09752771100003052,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
42,test,M1-96,N,k50_seed42,42,,MRR,0.15118706139120325,.agent/exposure_scaling/final_evidence/tables/table_hard_candidate.csv
43,validation,Y96,Y,binary,,12381,AUC,0.7790875353784678,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,Y96,Y,binary,,12381,F1,0.7832388153749212,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,Y96,Y,binary,,12381,Accuracy,0.7221549147887892,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k5,42,5675,HR@1,0.6280176211453744,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k5,42,5675,NDCG@5,0.832156605352138,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k5,42,5675,MRR,0.7757151248164464,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,Y,binary,,12381,AUC,0.7881196538118724,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,Y,binary,,12381,F1,0.7868914807302231,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,Y,binary,,12381,Accuracy,0.7284548905581132,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k5,42,5675,HR@1,0.625374449339207,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k5,42,5675,NDCG@5,0.8303896742566036,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k5,42,5675,MRR,0.773400881057268,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k20_seed42,42,5675,HR@1,0.19559471365638767,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k20_seed42,42,5675,NDCG@5,0.253310743481913,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k20_seed42,42,5675,MRR,0.3240114880542936,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k50_seed42,42,5675,HR@1,0.07524229074889868,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k50_seed42,42,5675,NDCG@5,0.09386525429234067,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,M1-96,N,k50_seed42,42,5675,MRR,0.14503383958185895,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k20_seed42,42,5675,HR@1,0.2770044052863436,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k20_seed42,42,5675,NDCG@5,0.37971550654226055,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k20_seed42,42,5675,MRR,0.4152810342717859,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k50_seed42,42,5675,HR@1,0.07859030837004405,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k50_seed42,42,5675,NDCG@5,0.09854372119592648,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,validation,N96,N,k50_seed42,42,5675,MRR,0.1566889507715567,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/validation_summary.txt
43,test,Y96,Y,binary,,11544,AUC,0.7815048040131269,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,Y96,Y,binary,,11544,F1,0.7785762711864407,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,Y96,Y,binary,,11544,Accuracy,0.717082467082467,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k5,42,5675,HR@1,0.613920704845815,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k5,42,5675,NDCG@5,0.8237104381564747,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k5,42,5675,MRR,0.7646196769456695,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,Y,binary,,11544,AUC,0.7849652027703679,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,Y,binary,,11544,F1,0.7845401440021736,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,Y,binary,,11544,Accuracy,0.7252252252252253,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k5,42,5675,HR@1,0.6061674008810573,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k5,42,5675,NDCG@5,0.8191371392216723,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k5,42,5675,MRR,0.7586108663729828,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k20_seed42,42,5675,HR@1,0.1971806167400881,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k20_seed42,42,5675,NDCG@5,0.24884570648169552,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k20_seed42,42,5675,MRR,0.32062602582168614,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k50_seed42,42,5675,HR@1,0.06255506607929516,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k50_seed42,42,5675,NDCG@5,0.08625989280353889,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k50_seed42,42,5675,MRR,0.13632574613741738,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k20_seed42,42,5675,HR@1,0.2688986784140969,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k20_seed42,42,5675,NDCG@5,0.37103626248934385,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k20_seed42,42,5675,MRR,0.4069725230201683,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k50_seed42,42,5675,HR@1,0.06766519823788546,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k50_seed42,42,5675,NDCG@5,0.09062693518105605,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
