variant,split,metric,seeds,delta_mean,delta_sample_sd,seed42_delta,seed43_delta,seed44_delta,positive_seed_count
k5,valid,HR@1,"42,43,44",0.007082863231791414,0.009344187114746993,0.001316284317412597,0.002068446784505462,0.017863858593456183,3
k5,valid,NDCG@5,"42,43,44",0.003454891798745696,0.0028758066302690057,0.0017702557989361933,0.0018189513505041388,0.006775468246796756,3
k5,valid,MRR,"42,43,44",0.0046111737913166655,0.003959115108861569,0.002297229534912737,0.002353641719944788,0.009182650119092473,3
k5,test,HR@1,"42,43,44",0.010719662752183057,0.002706009266926948,0.013730803974706385,0.008491418247515758,0.009936766034327027,3
k5,test,NDCG@5,"42,43,44",0.00528306759934231,0.0006633808118301164,0.0060489935607175305,0.004890504213821201,0.004909705023488198,3
k5,test,MRR,"42,43,44",0.007000903342366767,0.0009265071630391688,0.008069858476362546,0.00642878651008727,0.006504065040650486,3
k20,valid,HR@1,"42,43,44",0.08041870377334838,0.029713590961976,0.11037984204588192,0.0799172621286198,0.05095900714554344,3
k20,valid,NDCG@5,"42,43,44",0.11826398307558157,0.011346095884145424,0.12601177940189795,0.12353954560017216,0.10524062422467459,3
k20,valid,MRR,"42,43,44",0.08724223292352795,0.01895551651213548,0.10479828848362549,0.0897845536858129,0.06714385660114547,3
k20,test,HR@1,"42,43,44",0.0767841011743451,0.034915321859940174,0.11436314363143635,0.0706413730803975,0.04534778681120144,3
k20,test,NDCG@5,"42,43,44",0.11572538890149127,0.013562313387303668,0.1252706991562732,0.1217045537837732,0.10020091376442741,3
k20,test,MRR,"42,43,44",0.08440967582494481,0.021432229405809664,0.1051701821175211,0.08569524845997956,0.062363596897333784,3
k50,valid,HR@1,"42,43,44",0.009903472483389747,0.006958349798860683,0.016923655509590074,0.0030086498683715712,0.009778112072207593,3
k50,valid,NDCG@5,"42,43,44",0.014571251427545567,0.01310248898593692,0.029442066719047366,0.004723509424553643,0.00954817813903569,3
k50,valid,MRR,"42,43,44",0.018295960016428536,0.007305135868780316,0.02597897390158202,0.011438912775373788,0.017469993372329795,3
k50,test,HR@1,"42,43,44",0.01047877145438121,0.004436505567410538,0.01427280939476061,0.005600722673893409,0.011562782294489607,3
k50,test,NDCG@5,"42,43,44",0.014184314767194298,0.012234986868820769,0.02793365138489233,0.004496870141227682,0.01012242277546288,3
k50,test,MRR,"42,43,44",0.018064980017196235,0.005971211332593484,0.023662550289354795,0.011779682287610671,0.018752707474623237,3
