variant,split,metric,recovered_seeds,delta_mean_seed43_44,delta_sample_sd_seed43_44,seed43_delta,seed44_delta,positive_seed_count
k5,valid,HR@1,"43,44",0.009966152688980823,0.011169042801743126,0.002068446784505462,0.017863858593456183,2
k5,valid,NDCG@5,"43,44",0.004297209798650448,0.0035047867084342095,0.0018189513505041388,0.006775468246796756,2
k5,valid,MRR,"43,44",0.00576814591951863,0.004828838147817217,0.002353641719944788,0.009182650119092473,2
k5,test,HR@1,"43,44",0.009214092140921393,0.0010220152212272165,0.008491418247515758,0.009936766034327027,2
k5,test,NDCG@5,"43,44",0.004900104618654699,1.3577022719805872e-05,0.004890504213821201,0.004909705023488198,2
k5,test,MRR,"43,44",0.006466425775368878,5.322995943900911e-05,0.00642878651008727,0.006504065040650486,2
k20,valid,HR@1,"43,44",0.06543813463708162,0.020476578469862425,0.0799172621286198,0.05095900714554344,2
k20,valid,NDCG@5,"43,44",0.11439008491242338,0.012939291393013799,0.12353954560017216,0.10524062422467459,2
k20,valid,MRR,"43,44",0.07846420514347918,0.016009390439358836,0.0897845536858129,0.06714385660114547,2
k20,test,HR@1,"43,44",0.05799457994579947,0.017885266371475483,0.0706413730803975,0.04534778681120144,2
k20,test,NDCG@5,"43,44",0.11095273377410031,0.015205369677873833,0.1217045537837732,0.10020091376442741,2
k20,test,MRR,"43,44",0.07402942267865667,0.016497969036228535,0.08569524845997956,0.062363596897333784,2
k50,valid,HR@1,"43,44",0.006393380970289582,0.004786732629318481,0.0030086498683715712,0.009778112072207593,2
k50,valid,NDCG@5,"43,44",0.0071358437817946666,0.0034115559649888385,0.004723509424553643,0.00954817813903569,2
k50,valid,MRR,"43,44",0.014454453073851792,0.004264617987990204,0.011438912775373788,0.017469993372329795,2
k50,test,HR@1,"43,44",0.008581752484191508,0.004215812787562066,0.005600722673893409,0.011562782294489607,2
k50,test,NDCG@5,"43,44",0.007309646458345281,0.003977866415589554,0.004496870141227682,0.01012242277546288,2
k50,test,MRR,"43,44",0.015266194881116954,0.004930673395121179,0.011779682287610671,0.018752707474623237,2
