seed,exposure,variant,split,rows_original,rows_clean,metric,N,M1,delta_N_minus_M1
42,48000,k5,test,5675,5600,HR@1,0.58625,0.5764285714285714,0.009821428571428648
42,48000,k5,test,5675,5600,NDCG@5,0.8102513955377609,0.805385686243999,0.004865709293761955
42,48000,k5,test,5675,5600,MRR,0.7467053571428571,0.7402619047619047,0.006443452380952452
42,48000,k5,valid,5675,5494,HR@1,0.6035675282125955,0.5928285402257008,0.010738987986894766
42,48000,k5,valid,5675,5494,NDCG@5,0.8202402011356346,0.8146020738026069,0.005638127333027709
42,48000,k5,valid,5675,5494,MRR,0.7598410387088945,0.7523844193665818,0.007456619342312676
43,96000,k20,test,5675,5535,HR@1,0.2684733514001807,0.1978319783197832,0.0706413730803975
43,96000,k20,test,5675,5535,NDCG@5,0.3712911408054913,0.2495865870217181,0.1217045537837732
43,96000,k20,test,5675,5535,MRR,0.4069168388024262,0.32122159034244663,0.08569524845997956
43,96000,k20,valid,5675,5318,HR@1,0.27641970665663784,0.19650244452801804,0.0799172621286198
43,96000,k20,valid,5675,5318,NDCG@5,0.37789186371791295,0.2543523181177408,0.12353954560017216
43,96000,k20,valid,5675,5318,MRR,0.4142878479154047,0.3245032942295918,0.0897845536858129
43,96000,k5,test,5675,5535,HR@1,0.6115627822944896,0.6030713640469738,0.008491418247515758
43,96000,k5,test,5675,5535,NDCG@5,0.822423282537769,0.8175327783239478,0.004890504213821201
43,96000,k5,test,5675,5535,MRR,0.7629177958446252,0.7564890093345379,0.00642878651008727
43,96000,k5,valid,5675,5318,HR@1,0.6265513350883791,0.6244828883038737,0.002068446784505462
43,96000,k5,valid,5675,5318,NDCG@5,0.8314358038558568,0.8296168525053527,0.0018189513505041388
43,96000,k5,valid,5675,5318,MRR,0.7747492791776357,0.7723956374576909,0.002353641719944788
43,96000,k50,test,5675,5535,HR@1,0.06738934056007227,0.061788617886178863,0.005600722673893409
43,96000,k50,test,5675,5535,NDCG@5,0.0901575932486112,0.08566072310738351,0.004496870141227682
43,96000,k50,test,5675,5535,MRR,0.1474949237435904,0.13571524145597974,0.011779682287610671
43,96000,k50,valid,5675,5318,HR@1,0.078412937194434,0.07540428732606243,0.0030086498683715712
43,96000,k50,valid,5675,5318,NDCG@5,0.09880851689530179,0.09408500747074815,0.004723509424553643
43,96000,k50,valid,5675,5318,MRR,0.1569773297839016,0.14553841700852782,0.011438912775373788
44,96000,k20,test,5675,5535,HR@1,0.23721770551038843,0.191869918699187,0.04534778681120144
44,96000,k20,test,5675,5535,NDCG@5,0.3399382761502566,0.2397373623858292,0.10020091376442741
44,96000,k20,test,5675,5535,MRR,0.3804076949939334,0.3180440980965996,0.062363596897333784
44,96000,k20,valid,5675,5318,HR@1,0.24558104550582927,0.19462203836028583,0.05095900714554344
44,96000,k20,valid,5675,5318,NDCG@5,0.35077209713045915,0.24553147290578456,0.10524062422467459
44,96000,k20,valid,5675,5318,MRR,0.3899738879656375,0.322830031364492,0.06714385660114547
44,96000,k5,test,5675,5535,HR@1,0.608130081300813,0.598193315266486,0.009936766034327027
44,96000,k5,test,5675,5535,NDCG@5,0.820728320530939,0.8158186155074508,0.004909705023488198
44,96000,k5,test,5675,5535,MRR,0.7606624510689551,0.7541583860283047,0.006504065040650486
44,96000,k5,valid,5675,5318,HR@1,0.6346370816096277,0.6167732230161715,0.017863858593456183
44,96000,k5,valid,5675,5318,NDCG@5,0.8341203290975872,0.8273448608507904,0.006775468246796756
44,96000,k5,valid,5675,5318,MRR,0.7784474113075092,0.7692647611884167,0.009182650119092473
44,96000,k50,test,5675,5535,HR@1,0.06991869918699187,0.05835591689250226,0.011562782294489607
44,96000,k50,test,5675,5535,NDCG@5,0.0930446613720223,0.08292223859655942,0.01012242277546288
44,96000,k50,test,5675,5535,MRR,0.15273415307604266,0.13398144560141942,0.018752707474623237
44,96000,k50,valid,5675,5318,HR@1,0.07897705904475366,0.06919894697254607,0.009778112072207593
44,96000,k50,valid,5675,5318,NDCG@5,0.1003993927417542,0.09085121460271851,0.00954817813903569
44,96000,k50,valid,5675,5318,MRR,0.15983698849030786,0.14236699511797807,0.017469993372329795
