variant,split,metric,delta_definition,point_estimate,bootstrap_mean,ci95_low,ci95_high,p_delta_gt_0,bootstrap_unit,replicates,sample_count,user_count
k5,valid,HR@1,N96 - M1-96,0.001316284317412597,0.0011985332831891697,-0.010154193305753956,0.012410680707032773,0.5786,user,5000,5318,5318
k5,valid,NDCG@5,N96 - M1-96,0.0017702557989361933,0.001707371463292278,-0.0031340847167726366,0.006463676420047763,0.7644,user,5000,5318,5318
k5,valid,MRR,N96 - M1-96,0.002297229534912737,0.0022136423467468964,-0.00426570139150056,0.008556083113952619,0.7576,user,5000,5318,5318
k5,test,HR@1,N96 - M1-96,0.013730803974706385,0.013734814814814814,0.0030668473351399403,0.024390243902439046,0.993,user,5000,5535,5535
k5,test,NDCG@5,N96 - M1-96,0.0060489935607175305,0.006048161456264195,0.0013665643398160896,0.01076905218697259,0.9948,user,5000,5535,5535
k5,test,MRR,N96 - M1-96,0.008069858476362546,0.008068831677205662,0.001791403191809579,0.014339129780186735,0.9946,user,5000,5535,5535
k20,valid,HR@1,N96 - M1-96,0.11037984204588192,0.11036871004136894,0.09909270402406917,0.12128619781872885,1.0,user,5000,5318,5318
k20,valid,NDCG@5,N96 - M1-96,0.12601177940189795,0.12600049085055778,0.11759674833953425,0.13452842770554008,1.0,user,5000,5318,5318
k20,valid,MRR,N96 - M1-96,0.10479828848362549,0.10479908821235738,0.09691359984588296,0.11267655699251396,1.0,user,5000,5318,5318
k20,test,HR@1,N96 - M1-96,0.11436314363143635,0.11436202348690154,0.10352303523035228,0.1250225835591689,1.0,user,5000,5535,5535
k20,test,NDCG@5,N96 - M1-96,0.1252706991562732,0.12526882341784218,0.11712778792647836,0.13327581723707135,1.0,user,5000,5535,5535
k20,test,MRR,N96 - M1-96,0.1051701821175211,0.1051821961075859,0.09757445643008297,0.11275800622153724,1.0,user,5000,5535,5535
k50,valid,HR@1,N96 - M1-96,0.016923655509590074,0.01686566378337721,0.012034599473486271,0.021624670928920647,1.0,user,5000,5318,5318
k50,valid,NDCG@5,N96 - M1-96,0.029442066719047366,0.029391076955951195,0.02520488217872897,0.0336498884734161,1.0,user,5000,5318,5318
k50,valid,MRR,N96 - M1-96,0.02597897390158202,0.025929323890296882,0.022395160850199672,0.029523212898284433,1.0,user,5000,5318,5318
k50,test,HR@1,N96 - M1-96,0.01427280939476061,0.014321662149954832,0.009394760614272801,0.01933152664859983,1.0,user,5000,5535,5535
k50,test,NDCG@5,N96 - M1-96,0.02793365138489233,0.02799590916098988,0.02392982221555941,0.03206739838930238,1.0,user,5000,5535,5535
k50,test,MRR,N96 - M1-96,0.023662550289354795,0.02371033152725649,0.02007491140857242,0.02735263770591557,1.0,user,5000,5535,5535
