run,exposure,split,seed,AUC,F1,Accuracy
Y24,24000,validation,42,0.7761274819,0.7791746032,0.7190856958
Y24,24000,test,42,0.7784561583,0.7793987922,0.7183818434
Y48,48000,validation,42,0.7816111073,0.7848403087,0.7230433729
Y48,48000,test,42,0.7804671174,0.7815520945,0.7181219681
Y96,96000,validation,42,0.7843504067,0.7783174665,0.7235279864
Y96,96000,test,42,0.7853511126,0.7780238029,0.7221067221
M1-48,Y48k+N48k,validation,42,0.7813698559,0.7496657048,0.7127049511
M1-48,Y48k+N48k,test,42,0.7757951608,0.7472278796,0.7097193347
M1-96,Y96k+N96k,validation,42,0.7868352749,0.7838427948,0.7281318149
M1-96,Y96k+N96k,test,42,0.7864837284,0.7835646558,0.7271309771
