candidate_protocol,split,metric,point_estimate,ci95_low,ci95_high,ci_status
k5,validation,HR@1,0.0003524229074889868,-0.01039647577092511,0.011277533039647578,CROSSES_ZERO
k5,validation,NDCG@5,0.0011520935050120533,,,CROSSES_ZERO
k5,validation,MRR,0.0014889867841409688,,,CROSSES_ZERO
k5,test,HR@1,0.012687224669603524,0.0015859030837004405,0.02378854625550661,POSITIVE
k5,test,NDCG@5,0.005665834482332085,,,POSITIVE
k5,test,MRR,0.007553597650513948,,,POSITIVE
k20,validation,HR@1,0.11242290748898678,0.10185022026431718,0.12317180616740088,POSITIVE
k20,validation,NDCG@5,0.1269794215501796,,,POSITIVE
k20,validation,MRR,0.10625608014912585,,,POSITIVE
k20,test,HR@1,0.1147136563876652,0.10396475770925111,0.12511013215859032,POSITIVE
k20,test,NDCG@5,0.12593254339740279,,,POSITIVE
k20,test,MRR,0.1058693093638676,,,POSITIVE
k50,validation,HR@1,0.01709251101321586,0.012511013215859032,0.02185022026431718,POSITIVE
k50,validation,NDCG@5,0.02895557663648938,,,POSITIVE
k50,validation,MRR,0.025829360157151742,,,POSITIVE
k50,test,HR@1,0.013920704845814978,0.009162995594713657,0.018854625550660795,POSITIVE
k50,test,NDCG@5,0.02777808077651262,,,POSITIVE
k50,test,MRR,0.023417998574650413,,,POSITIVE
