output_file,output_row,output_row_key,output_column,source_file,source_row_key,source_column,transformation
training_exposure_compact.csv,1,run=Y24,run,paper/tables/training_exposure.csv,run=Y24,run,identity selection
training_exposure_compact.csv,1,run=Y24,optimizer_steps,paper/tables/training_exposure.csv,run=Y24,optimizer_steps,identity selection
training_exposure_compact.csv,1,run=Y24,total_exposure,paper/tables/training_exposure.csv,run=Y24,total_exposure,identity selection
training_exposure_compact.csv,1,run=Y24,Y_exposure,paper/tables/training_exposure.csv,run=Y24,Y_exposure,identity selection
training_exposure_compact.csv,1,run=Y24,N_exposure,paper/tables/training_exposure.csv,run=Y24,N_exposure,identity selection
training_exposure_compact.csv,2,run=Y48,run,paper/tables/training_exposure.csv,run=Y48,run,identity selection
training_exposure_compact.csv,2,run=Y48,optimizer_steps,paper/tables/training_exposure.csv,run=Y48,optimizer_steps,identity selection
training_exposure_compact.csv,2,run=Y48,total_exposure,paper/tables/training_exposure.csv,run=Y48,total_exposure,identity selection
training_exposure_compact.csv,2,run=Y48,Y_exposure,paper/tables/training_exposure.csv,run=Y48,Y_exposure,identity selection
training_exposure_compact.csv,2,run=Y48,N_exposure,paper/tables/training_exposure.csv,run=Y48,N_exposure,identity selection
training_exposure_compact.csv,3,run=Y96,run,paper/tables/training_exposure.csv,run=Y96,run,identity selection
training_exposure_compact.csv,3,run=Y96,optimizer_steps,paper/tables/training_exposure.csv,run=Y96,optimizer_steps,identity selection
training_exposure_compact.csv,3,run=Y96,total_exposure,paper/tables/training_exposure.csv,run=Y96,total_exposure,identity selection
training_exposure_compact.csv,3,run=Y96,Y_exposure,paper/tables/training_exposure.csv,run=Y96,Y_exposure,identity selection
training_exposure_compact.csv,3,run=Y96,N_exposure,paper/tables/training_exposure.csv,run=Y96,N_exposure,identity selection
training_exposure_compact.csv,4,run=N24,run,paper/tables/training_exposure.csv,run=N24,run,identity selection
training_exposure_compact.csv,4,run=N24,optimizer_steps,paper/tables/training_exposure.csv,run=N24,optimizer_steps,identity selection
training_exposure_compact.csv,4,run=N24,total_exposure,paper/tables/training_exposure.csv,run=N24,total_exposure,identity selection
training_exposure_compact.csv,4,run=N24,Y_exposure,paper/tables/training_exposure.csv,run=N24,Y_exposure,identity selection
training_exposure_compact.csv,4,run=N24,N_exposure,paper/tables/training_exposure.csv,run=N24,N_exposure,identity selection
training_exposure_compact.csv,5,run=N48,run,paper/tables/training_exposure.csv,run=N48,run,identity selection
training_exposure_compact.csv,5,run=N48,optimizer_steps,paper/tables/training_exposure.csv,run=N48,optimizer_steps,identity selection
training_exposure_compact.csv,5,run=N48,total_exposure,paper/tables/training_exposure.csv,run=N48,total_exposure,identity selection
training_exposure_compact.csv,5,run=N48,Y_exposure,paper/tables/training_exposure.csv,run=N48,Y_exposure,identity selection
training_exposure_compact.csv,5,run=N48,N_exposure,paper/tables/training_exposure.csv,run=N48,N_exposure,identity selection
training_exposure_compact.csv,6,run=N96,run,paper/tables/training_exposure.csv,run=N96,run,identity selection
training_exposure_compact.csv,6,run=N96,optimizer_steps,paper/tables/training_exposure.csv,run=N96,optimizer_steps,identity selection
training_exposure_compact.csv,6,run=N96,total_exposure,paper/tables/training_exposure.csv,run=N96,total_exposure,identity selection
training_exposure_compact.csv,6,run=N96,Y_exposure,paper/tables/training_exposure.csv,run=N96,Y_exposure,identity selection
training_exposure_compact.csv,6,run=N96,N_exposure,paper/tables/training_exposure.csv,run=N96,N_exposure,identity selection
training_exposure_compact.csv,7,run=N200,run,paper/tables/training_exposure.csv,run=N200,run,identity selection
training_exposure_compact.csv,7,run=N200,optimizer_steps,paper/tables/training_exposure.csv,run=N200,optimizer_steps,identity selection
training_exposure_compact.csv,7,run=N200,total_exposure,paper/tables/training_exposure.csv,run=N200,total_exposure,identity selection
training_exposure_compact.csv,7,run=N200,Y_exposure,paper/tables/training_exposure.csv,run=N200,Y_exposure,identity selection
training_exposure_compact.csv,7,run=N200,N_exposure,paper/tables/training_exposure.csv,run=N200,N_exposure,identity selection
training_exposure_compact.csv,8,run=M1-48,run,paper/tables/training_exposure.csv,run=M1-48,run,identity selection
training_exposure_compact.csv,8,run=M1-48,optimizer_steps,paper/tables/training_exposure.csv,run=M1-48,optimizer_steps,identity selection
training_exposure_compact.csv,8,run=M1-48,total_exposure,paper/tables/training_exposure.csv,run=M1-48,total_exposure,identity selection
training_exposure_compact.csv,8,run=M1-48,Y_exposure,paper/tables/training_exposure.csv,run=M1-48,Y_exposure,identity selection
training_exposure_compact.csv,8,run=M1-48,N_exposure,paper/tables/training_exposure.csv,run=M1-48,N_exposure,identity selection
training_exposure_compact.csv,9,run=M1-96,run,paper/tables/training_exposure.csv,run=M1-96,run,identity selection
training_exposure_compact.csv,9,run=M1-96,optimizer_steps,paper/tables/training_exposure.csv,run=M1-96,optimizer_steps,identity selection
training_exposure_compact.csv,9,run=M1-96,total_exposure,paper/tables/training_exposure.csv,run=M1-96,total_exposure,identity selection
training_exposure_compact.csv,9,run=M1-96,Y_exposure,paper/tables/training_exposure.csv,run=M1-96,Y_exposure,identity selection
training_exposure_compact.csv,9,run=M1-96,N_exposure,paper/tables/training_exposure.csv,run=M1-96,N_exposure,identity selection
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,panel,paper/tables/binary_exposure.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,run,paper/tables/binary_exposure.csv,run=Y24|split=validation,run,identity selection
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,exposure,paper/tables/binary_exposure.csv,run=Y24|split=validation,exposure,identity selection
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,split,paper/tables/binary_exposure.csv,run=Y24|split=validation,split,identity selection
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,interface,paper/tables/binary_exposure.csv,run=Y24|split=validation,interface,identity selection
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,metric_1,paper/tables/binary_exposure.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,value_1,paper/tables/binary_exposure.csv,run=Y24|split=validation,AUC,identity selection
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,metric_2,paper/tables/binary_exposure.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,value_2,paper/tables/binary_exposure.csv,run=Y24|split=validation,F1,identity selection
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,metric_3,paper/tables/binary_exposure.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,1,panel=A|run=Y24|split=validation,value_3,paper/tables/binary_exposure.csv,run=Y24|split=validation,Accuracy,identity selection
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,panel,paper/tables/binary_exposure.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,run,paper/tables/binary_exposure.csv,run=Y48|split=validation,run,identity selection
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,exposure,paper/tables/binary_exposure.csv,run=Y48|split=validation,exposure,identity selection
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,split,paper/tables/binary_exposure.csv,run=Y48|split=validation,split,identity selection
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,interface,paper/tables/binary_exposure.csv,run=Y48|split=validation,interface,identity selection
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,metric_1,paper/tables/binary_exposure.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,value_1,paper/tables/binary_exposure.csv,run=Y48|split=validation,AUC,identity selection
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,metric_2,paper/tables/binary_exposure.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,value_2,paper/tables/binary_exposure.csv,run=Y48|split=validation,F1,identity selection
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,metric_3,paper/tables/binary_exposure.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,2,panel=A|run=Y48|split=validation,value_3,paper/tables/binary_exposure.csv,run=Y48|split=validation,Accuracy,identity selection
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,panel,paper/tables/binary_exposure.csv,run=Y96|split=validation,,static panel/display label
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,run,paper/tables/binary_exposure.csv,run=Y96|split=validation,run,identity selection
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,exposure,paper/tables/binary_exposure.csv,run=Y96|split=validation,exposure,identity selection
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,split,paper/tables/binary_exposure.csv,run=Y96|split=validation,split,identity selection
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,interface,paper/tables/binary_exposure.csv,run=Y96|split=validation,interface,identity selection
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,metric_1,paper/tables/binary_exposure.csv,run=Y96|split=validation,,static panel/display label
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,value_1,paper/tables/binary_exposure.csv,run=Y96|split=validation,AUC,identity selection
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,metric_2,paper/tables/binary_exposure.csv,run=Y96|split=validation,,static panel/display label
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,value_2,paper/tables/binary_exposure.csv,run=Y96|split=validation,F1,identity selection
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,metric_3,paper/tables/binary_exposure.csv,run=Y96|split=validation,,static panel/display label
supervision_semantics_compact.csv,3,panel=A|run=Y96|split=validation,value_3,paper/tables/binary_exposure.csv,run=Y96|split=validation,Accuracy,identity selection
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,panel,paper/tables/binary_exposure.csv,run=Y96|split=test,,static panel/display label
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,run,paper/tables/binary_exposure.csv,run=Y96|split=test,run,identity selection
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,exposure,paper/tables/binary_exposure.csv,run=Y96|split=test,exposure,identity selection
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,split,paper/tables/binary_exposure.csv,run=Y96|split=test,split,identity selection
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,interface,paper/tables/binary_exposure.csv,run=Y96|split=test,interface,identity selection
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,metric_1,paper/tables/binary_exposure.csv,run=Y96|split=test,,static panel/display label
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,value_1,paper/tables/binary_exposure.csv,run=Y96|split=test,AUC,identity selection
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,metric_2,paper/tables/binary_exposure.csv,run=Y96|split=test,,static panel/display label
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,value_2,paper/tables/binary_exposure.csv,run=Y96|split=test,F1,identity selection
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,metric_3,paper/tables/binary_exposure.csv,run=Y96|split=test,,static panel/display label
supervision_semantics_compact.csv,4,panel=A|run=Y96|split=test,value_3,paper/tables/binary_exposure.csv,run=Y96|split=test,Accuracy,identity selection
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,panel,paper/tables/semantics_bridge.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,run,paper/tables/semantics_bridge.csv,run=Y24|split=validation,run,identity selection
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,exposure,paper/tables/semantics_bridge.csv,run=Y24|split=validation,exposure,identity selection
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,split,paper/tables/semantics_bridge.csv,run=Y24|split=validation,split,identity selection
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,interface,paper/tables/semantics_bridge.csv,run=Y24|split=validation,interface,identity selection
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,metric_1,paper/tables/semantics_bridge.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,value_1,paper/tables/semantics_bridge.csv,run=Y24|split=validation,HR@1,identity selection
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,metric_2,paper/tables/semantics_bridge.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,value_2,paper/tables/semantics_bridge.csv,run=Y24|split=validation,NDCG@5,identity selection
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,metric_3,paper/tables/semantics_bridge.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,value_3,paper/tables/semantics_bridge.csv,run=Y24|split=validation,MRR,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,panel,paper/tables/semantics_bridge.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,run,paper/tables/semantics_bridge.csv,run=Y48|split=validation,run,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,exposure,paper/tables/semantics_bridge.csv,run=Y48|split=validation,exposure,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,split,paper/tables/semantics_bridge.csv,run=Y48|split=validation,split,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,interface,paper/tables/semantics_bridge.csv,run=Y48|split=validation,interface,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,metric_1,paper/tables/semantics_bridge.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,value_1,paper/tables/semantics_bridge.csv,run=Y48|split=validation,HR@1,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,metric_2,paper/tables/semantics_bridge.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,value_2,paper/tables/semantics_bridge.csv,run=Y48|split=validation,NDCG@5,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,metric_3,paper/tables/semantics_bridge.csv,run=Y48|split=validation,,static panel/display label
