split,protocol,metric,delta_definition,mean_delta,sample_sd,seed_directions_42_43_44
validation,binary,AUC,M1-Y - Y96,0.0048224906689036855,0.003653070526935205,+/+/+
validation,binary,F1,M1-Y - Y96,0.004548365891269797,0.0009389724410678821,+/+/+
validation,binary,Accuracy,M1-Y - Y96,0.00333844871600301,0.003757563698506304,+/+/-
validation,k5,HR@1,N96 - M1-N,0.005873715155653454,0.007665366987627182,+/+/+
validation,k5,NDCG@5,N96 - M1-N,0.002773046668565704,0.0022957839504247177,+/+/+
validation,k5,MRR,N96 - M1-N,0.003713166883357729,0.0031647149138975222,+/+/+
validation,k20,HR@1,N96 - M1-N,0.08164464023494859,0.030661468083778353,+/+/+
validation,k20,NDCG@5,N96 - M1-N,0.11977381336734141,0.011986254981582841,+/+/+
validation,k20,MRR,N96 - M1-N,0.08822087147183559,0.019736936311530118,+/+/+
validation,k50,HR@1,N96 - M1-N,0.010279001468428778,0.006872999695182421,+/+/+
validation,k50,NDCG@5,N96 - M1-N,0.014521257113141381,0.0127732580152996,+/+/+
validation,k50,MRR,N96 - M1-N,0.01849867029797254,0.007099669409500947,+/+/+
test,binary,AUC,M1-Y - Y96,0.0033440137568007864,0.0021555632302241857,+/+/+
test,binary,F1,M1-Y - Y96,0.007347817627916549,0.002771491337187062,+/+/+
test,binary,Accuracy,M1-Y - Y96,0.007132132124047137,0.0018259888975482217,+/+/+
test,k5,HR@1,N96 - M1-N,0.010161527176064592,0.002469057232226295,+/+/+
test,k5,NDCG@5,N96 - M1-N,0.005014734608108011,0.0005756542397325023,+/+/+
test,k5,MRR,N96 - M1-N,0.006647087632745389,0.0008065689845203742,+/+/+
test,k20,HR@1,N96 - M1-N,0.07765051395007343,0.0344818096051382,+/+/+
test,k20,NDCG@5,N96 - M1-N,0.11643215038823883,0.013346303574270465,+/+/+
test,k20,MRR,N96 - M1-N,0.08518932845357664,0.021282172762874953,+/+/+
test,k50,HR@1,N96 - M1-N,0.010102790014684287,0.00452123474841136,+/+/+
test,k50,NDCG@5,N96 - M1-N,0.01408006129036403,0.01220366141396574,+/+/+
test,k50,MRR,N96 - M1-N,0.017902290537574694,0.005932643137077223,+/+/+
