candidate_protocol,split,metric,N96_value,M1-96_value,delta_definition,point_estimate,ci95_low,ci95_high,p_delta_gt_0,note
k5,validation,HR@1,0.6237885463,0.6234361233,N96 - M1-96,0.0003524229074889868,-0.01039647577092511,0.011277533039647578,0.5174,candidate sets are independently constructed and not nested
k5,validation,NDCG@5,0.8302923694,0.8291402759,N96 - M1-96,0.0011520935050120533,-0.0033722416192506223,0.005810551214506837,0.6768,candidate sets are independently constructed and not nested
k5,validation,MRR,0.7732422907,0.771753304,N96 - M1-96,0.0014889867841409688,-0.004569897209985313,0.007692143906020559,0.6692,candidate sets are independently constructed and not nested
k5,test,HR@1,0.6100440529,0.5973568282,N96 - M1-96,0.012687224669603524,0.0015859030837004405,0.02378854625550661,0.988,candidate sets are independently constructed and not nested
k5,test,NDCG@5,0.8218966233,0.8162307888,N96 - M1-96,0.005665834482332085,0.001042457002734931,0.010430093540528913,0.9904,candidate sets are independently constructed and not nested
k5,test,MRR,0.7622026432,0.7546490455,N96 - M1-96,0.007553597650513948,0.001403597650513949,0.013929515418502184,0.9904,candidate sets are independently constructed and not nested
k20,validation,HR@1,0.3890748898678414,0.27665198237885463,N96 - M1-96,0.11242290748898678,0.10185022026431718,0.12317180616740088,1.0,candidate sets are independently constructed and not nested
k20,validation,NDCG@5,0.5209809565825009,0.3940015350323287,N96 - M1-96,0.1269794215501796,0.11911045598508378,0.1352631639466986,1.0,candidate sets are independently constructed and not nested
k20,validation,MRR,0.5248862838190325,0.41863020366990455,N96 - M1-96,0.10625608014912585,0.09889481292943336,0.11407883680497348,1.0,candidate sets are independently constructed and not nested
k20,test,HR@1,0.3758590308370044,0.2611453744493392,N96 - M1-96,0.1147136563876652,0.10396475770925111,0.12511013215859032,1.0,candidate sets are independently constructed and not nested
k20,test,NDCG@5,0.5014430507361404,0.37551050733874575,N96 - M1-96,0.12593254339740279,0.11801060700427189,0.1338827845812851,1.0,candidate sets are independently constructed and not nested
k20,test,MRR,0.5099145579215411,0.4040452485576725,N96 - M1-96,0.1058693093638676,0.0982253508948069,0.11335615196078587,1.0,candidate sets are independently constructed and not nested
k50,validation,HR@1,0.09585903083700441,0.07876651982378854,N96 - M1-96,0.01709251101321586,0.012511013215859032,0.02185022026431718,1.0,candidate sets are independently constructed and not nested
k50,validation,NDCG@5,0.13444222261012798,0.10548664597363892,N96 - M1-96,0.02895557663648938,0.024912669476297652,0.033072320269894664,1.0,candidate sets are independently constructed and not nested
k50,validation,MRR,0.18514489749687316,0.15931553733972098,N96 - M1-96,0.025829360157151742,0.02242519693620818,0.029333196745337603,1.0,candidate sets are independently constructed and not nested
k50,test,HR@1,0.08299559471365639,0.06907488986784141,N96 - M1-96,0.013920704845814978,0.009162995594713657,0.018854625550660795,1.0,candidate sets are independently constructed and not nested
k50,test,NDCG@5,0.12530579177654286,0.09752771100003052,N96 - M1-96,0.02777808077651262,0.023997519292228164,0.03185254783465271,1.0,candidate sets are independently constructed and not nested
k50,test,MRR,0.17460505996585443,0.15118706139120325,N96 - M1-96,0.023417998574650413,0.019881029270194986,0.027061761052627413,1.0,candidate sets are independently constructed and not nested
