split,protocol,metric,delta_definition,mean,sample_std,n_training_seeds,ddof,minimum,maximum
validation,binary,AUC,M1-Y - Y96,0.0048224906689036855,0.003653070526935205,3,1,0.0024848682000000455,0.009032118433404679
validation,binary,F1,M1-Y - Y96,0.004548365891269797,0.0009389724410678821,3,1,0.003652665355301843,0.005525328299999965
validation,binary,Accuracy,M1-Y - Y96,0.00333844871600301,0.003757563698506304,3,1,-0.0008884581213148834,0.006299975769323951
validation,k5,HR@1,N96 - M1-N,0.005873715155653454,0.007665366987627182,3,1,0.0003524230000000461,0.014625550660792963
validation,k5,NDCG@5,N96 - M1-N,0.002773046668565704,0.0022957839504247177,3,1,0.0011520935000000065,0.00540011541016272
validation,k5,MRR,N96 - M1-N,0.003713166883357729,0.0031647149138975222,3,1,0.0014889866999999724,0.007336270190894778
validation,k20_seed42,HR@1,N96 - M1-N,0.08164464023494859,0.030661468083778353,3,1,0.05110132158590308,0.11242290748898676
validation,k20_seed42,NDCG@5,N96 - M1-N,0.11977381336734141,0.011986254981582841,3,1,0.10593725549150454,0.12697942155017217
validation,k20_seed42,MRR,N96 - M1-N,0.08822087147183559,0.019736936311530118,3,1,0.06713698804888651,0.10625608014912791
validation,k50_seed42,HR@1,N96 - M1-N,0.010279001468428778,0.006872999695182421,3,1,0.003348017621145366,0.017092511013215864
validation,k50_seed42,NDCG@5,N96 - M1-N,0.014521257113141381,0.0127732580152996,3,1,0.0046784669035858095,0.028955576636489053
validation,k50_seed42,MRR,N96 - M1-N,0.01849867029797254,0.007099669409500947,3,1,0.011655111189697753,0.025829360157152176
test,binary,AUC,M1-Y - Y96,0.0033440137568007864,0.0021555632302241857,3,1,0.0011326158000000142,0.005439026713161432
test,binary,F1,M1-Y - Y96,0.007347817627916549,0.002771491337187062,3,1,0.0055408529000000595,0.010538727168016626
test,binary,Accuracy,M1-Y - Y96,0.007132132124047137,0.0018259888975482217,3,1,0.005024254999999922,0.00822938322938327
test,k5,HR@1,N96 - M1-N,0.010161527176064592,0.002469057232226295,3,1,0.007753303964757707,0.012687224699999944
test,k5,NDCG@5,N96 - M1-N,0.005014734608108011,0.0005756542397325023,3,1,0.004573298934802406,0.005665834500000022
test,k5,MRR,N96 - M1-N,0.006647087632745389,0.0008065689845203742,3,1,0.006008810572686651,0.00755359769999997
test,k20_seed42,HR@1,N96 - M1-N,0.07765051395007343,0.0344818096051382,3,1,0.04651982378854627,0.11471365638766517
test,k20_seed42,NDCG@5,N96 - M1-N,0.11643215038823883,0.013346303574270465,3,1,0.10117335175967354,0.12593254339739463
test,k20_seed42,MRR,N96 - M1-N,0.08518932845357664,0.021282172762874953,3,1,0.06335217879837923,0.10586930936386857
test,k50_seed42,HR@1,N96 - M1-N,0.010102790014684287,0.00452123474841136,3,1,0.005110132158590297,0.01392070484581498
test,k50_seed42,NDCG@5,N96 - M1-N,0.01408006129036403,0.01220366141396574,3,1,0.004367042377517158,0.027778080776512337
test,k50_seed42,MRR,N96 - M1-N,0.017902290537574694,0.005932643137077223,3,1,0.01162605930372726,0.023417998574651183
