split,protocol,metric,delta_definition,mean_delta,sample_sd,signs_42_43_44
validation,k5,HR@1,N96 - M1-N,0.007082863231791414,0.009344187114746993,+/+/+
validation,k5,NDCG@5,N96 - M1-N,0.003454891798745696,0.0028758066302690057,+/+/+
validation,k5,MRR,N96 - M1-N,0.0046111737913166655,0.003959115108861569,+/+/+
test,k5,HR@1,N96 - M1-N,0.010719662752183057,0.002706009266926948,+/+/+
test,k5,NDCG@5,N96 - M1-N,0.00528306759934231,0.0006633808118301164,+/+/+
test,k5,MRR,N96 - M1-N,0.007000903342366767,0.0009265071630391688,+/+/+
validation,k20,HR@1,N96 - M1-N,0.08041870377334838,0.029713590961976,+/+/+
validation,k20,NDCG@5,N96 - M1-N,0.11826398307558157,0.011346095884145424,+/+/+
validation,k20,MRR,N96 - M1-N,0.08724223292352795,0.01895551651213548,+/+/+
test,k20,HR@1,N96 - M1-N,0.0767841011743451,0.034915321859940174,+/+/+
test,k20,NDCG@5,N96 - M1-N,0.11572538890149127,0.013562313387303668,+/+/+
test,k20,MRR,N96 - M1-N,0.08440967582494481,0.021432229405809664,+/+/+
validation,k50,HR@1,N96 - M1-N,0.009903472483389747,0.006958349798860683,+/+/+
validation,k50,NDCG@5,N96 - M1-N,0.014571251427545567,0.01310248898593692,+/+/+
validation,k50,MRR,N96 - M1-N,0.018295960016428536,0.007305135868780316,+/+/+
test,k50,HR@1,N96 - M1-N,0.01047877145438121,0.004436505567410538,+/+/+
test,k50,NDCG@5,N96 - M1-N,0.014184314767194298,0.012234986868820769,+/+/+
test,k50,MRR,N96 - M1-N,0.018064980017196235,0.005971211332593484,+/+/+
