split,exposure_k,retained_n,metric,N,M1,delta_N_minus_M1,delta_change_96_minus_48
validation,48,5318,HR@1,0.6032342986084994,0.5925159834524257,0.010718315156073688,
validation,96,5318,HR@1,0.6222264009025950,0.6209101165851824,0.001316284317412597,-0.009402030838661090
validation,48,5318,NDCG@5,0.8199970608498032,0.8145078622133650,0.005489198636438153,
validation,96,5318,NDCG@5,0.8296148448669631,0.8278445890680269,0.001770255798936193,-0.003718942837501960
validation,48,5318,MRR,0.7595273912498433,0.7522502193807196,0.007277171869123689,
validation,96,5318,MRR,0.7723329572520997,0.7700357277171870,0.002297229534912737,-0.004979942334210952
test,48,5535,HR@1,0.5850045167118337,0.5756097560975609,0.009394760614272801,
test,96,5535,HR@1,0.6074074074074074,0.5936766034327010,0.013730803974706385,0.004336043360433584
test,48,5535,NDCG@5,0.8095222634534835,0.8049882667818574,0.004533996671626128,
test,96,5535,NDCG@5,0.8204369782419914,0.8143879846812738,0.006048993560717531,0.001514996889091402
test,48,5535,MRR,0.7457482685937970,0.7397350195724179,0.006013249021379008,
test,96,5535,MRR,0.7602770249924721,0.7522071665161095,0.008069858476362546,0.002056609454983538
