seed,protocol,split,n_file,m1_file,same_split,same_candidate_protocol,same_candidate_set_per_query,same_positive_target,same_cross_task_safe_inclusion_rule,same_evaluable_query_count,no_duplicate_missing_identities,no_row_ordering_assumption,usable_users,usable_queries,pairing_status,reason
42,k5,validation,,,NO,NO,NO,NO,NO,NO,NO,YES,0,0,UNAVAILABLE,missing one or both prediction files
42,k5,test,,,NO,NO,NO,NO,NO,NO,NO,YES,0,0,UNAVAILABLE,missing one or both prediction files
42,k20,validation,,,NO,NO,NO,NO,NO,NO,NO,YES,0,0,UNAVAILABLE,missing one or both prediction files
42,k20,test,,,NO,NO,NO,NO,NO,NO,NO,YES,0,0,UNAVAILABLE,missing one or both prediction files
42,k50,validation,,,NO,NO,NO,NO,NO,NO,NO,YES,0,0,UNAVAILABLE,missing one or both prediction files
42,k50,test,,,NO,NO,NO,NO,NO,NO,NO,YES,0,0,UNAVAILABLE,missing one or both prediction files
43,k5,validation,.agent/missing_prediction_bundles_imported/machine_B/payload/outputs/n/movielens-1m/exposure_n_s12000_seed43/popmatch_eval/n_valid_predictions.jsonl,.agent/missing_prediction_bundles_imported/machine_B/payload/outputs/m/movielens-1m/exposure_m1_s24000_seed43/popmatch_eval/m_n_valid_predictions.jsonl,YES,YES,YES,YES,YES,YES,YES,YES,5675,5675,FEASIBLE,exact identity/candidate/target pairing verified
43,k5,test,.agent/missing_prediction_bundles_imported/machine_B/payload/outputs/n/movielens-1m/exposure_n_s12000_seed43/popmatch_eval/n_test_predictions.jsonl,.agent/missing_prediction_bundles_imported/machine_B/payload/outputs/m/movielens-1m/exposure_m1_s24000_seed43/popmatch_eval/m_n_test_predictions.jsonl,YES,YES,YES,YES,YES,YES,YES,YES,5675,5675,FEASIBLE,exact identity/candidate/target pairing verified
43,k20,validation,.agent/missing_prediction_bundles_imported/machine_B/payload/outputs/phase2a/multiseed96_ranking_robustness/seed43/n_k0_k20_seed42/n_valid_predictions.jsonl,.agent/missing_prediction_bundles_imported/machine_B/payload/outputs/phase2a/multiseed96_ranking_robustness/seed43/m1_k20_seed42/m_n_valid_predictions.jsonl,YES,YES,YES,YES,YES,YES,YES,YES,5675,5675,FEASIBLE,exact identity/candidate/target pairing verified
43,k20,test,.agent/missing_prediction_bundles_imported/machine_B/payload/outputs/phase2a/multiseed96_ranking_robustness/seed43/n_k0_k20_seed42/n_test_predictions.jsonl,.agent/missing_prediction_bundles_imported/machine_B/payload/outputs/phase2a/multiseed96_ranking_robustness/seed43/m1_k20_seed42/m_n_test_predictions.jsonl,YES,YES,YES,YES,YES,YES,YES,YES,5675,5675,FEASIBLE,exact identity/candidate/target pairing verified
