seed,protocol,split,model,metric,computed,frozen_reference,classification
43,k5,validation,N96,HR@1,0.6280176211453744,0.6280176211453744,EXACT_MATCH
43,k5,validation,N96,NDCG@5,0.8321566053521495,0.832156605352138,NUMERICALLY_CONSISTENT
43,k5,validation,N96,MRR,0.7757151248164464,0.7757151248164464,EXACT_MATCH
43,k5,validation,M1-N96,HR@1,0.625374449339207,0.625374449339207,EXACT_MATCH
43,k5,validation,M1-N96,NDCG@5,0.8303896742566153,0.8303896742566036,NUMERICALLY_CONSISTENT
43,k5,validation,M1-N96,MRR,0.7734008810572688,0.773400881057268,NUMERICALLY_CONSISTENT
43,k5,test,N96,HR@1,0.613920704845815,0.613920704845815,EXACT_MATCH
43,k5,test,N96,NDCG@5,0.8237104381564874,0.8237104381564747,NUMERICALLY_CONSISTENT
43,k5,test,N96,MRR,0.764619676945668,0.7646196769456695,NUMERICALLY_CONSISTENT
43,k5,test,M1-N96,HR@1,0.6061674008810573,0.6061674008810573,EXACT_MATCH
43,k5,test,M1-N96,NDCG@5,0.8191371392216878,0.8191371392216723,NUMERICALLY_CONSISTENT
43,k5,test,M1-N96,MRR,0.7586108663729809,0.7586108663729828,NUMERICALLY_CONSISTENT
43,k20,validation,N96,HR@1,0.2770044052863436,0.2770044052863436,EXACT_MATCH
43,k20,validation,N96,NDCG@5,0.37971550654225783,0.37971550654226055,NUMERICALLY_CONSISTENT
43,k20,validation,N96,MRR,0.41528103427178725,0.4152810342717859,NUMERICALLY_CONSISTENT
43,k20,validation,M1-N96,HR@1,0.19559471365638767,0.19559471365638767,EXACT_MATCH
43,k20,validation,M1-N96,NDCG@5,0.253310743481912,0.253310743481913,NUMERICALLY_CONSISTENT
43,k20,validation,M1-N96,MRR,0.324011488054293,0.3240114880542936,NUMERICALLY_CONSISTENT
43,k20,test,N96,HR@1,0.2688986784140969,0.2688986784140969,EXACT_MATCH
43,k20,test,N96,NDCG@5,0.37103626248934124,0.37103626248934385,NUMERICALLY_CONSISTENT
43,k20,test,N96,MRR,0.40697252302016973,0.4069725230201683,NUMERICALLY_CONSISTENT
43,k20,test,M1-N96,HR@1,0.1971806167400881,0.1971806167400881,EXACT_MATCH
43,k20,test,M1-N96,NDCG@5,0.24884570648169463,0.24884570648169552,NUMERICALLY_CONSISTENT
43,k20,test,M1-N96,MRR,0.320626025821686,0.32062602582168614,NUMERICALLY_CONSISTENT
43,k50,validation,N96,HR@1,0.07859030837004405,0.07859030837004405,EXACT_MATCH
43,k50,validation,N96,NDCG@5,0.09854372119592635,0.09854372119592648,NUMERICALLY_CONSISTENT
43,k50,validation,N96,MRR,0.15668895077155984,0.1566889507715567,NUMERICALLY_CONSISTENT
43,k50,validation,M1-N96,HR@1,0.07524229074889868,0.07524229074889868,EXACT_MATCH
43,k50,validation,M1-N96,NDCG@5,0.0938652542923405,0.09386525429234067,NUMERICALLY_CONSISTENT
43,k50,validation,M1-N96,MRR,0.14503383958186158,0.14503383958185895,NUMERICALLY_CONSISTENT
43,k50,test,N96,HR@1,0.06766519823788546,0.06766519823788546,EXACT_MATCH
43,k50,test,N96,NDCG@5,0.0906269351810558,0.09062693518105605,NUMERICALLY_CONSISTENT
43,k50,test,N96,MRR,0.1479518054411477,0.14795180544114464,NUMERICALLY_CONSISTENT
43,k50,test,M1-N96,HR@1,0.06255506607929516,0.06255506607929516,EXACT_MATCH
43,k50,test,M1-N96,NDCG@5,0.0862598928035387,0.08625989280353889,NUMERICALLY_CONSISTENT
43,k50,test,M1-N96,MRR,0.1363257461374203,0.13632574613741738,NUMERICALLY_CONSISTENT
44,k5,validation,N96,HR@1,0.6352422907488987,0.6352422907488987,EXACT_MATCH
44,k5,validation,N96,NDCG@5,0.8345124329410905,0.8345124329410781,NUMERICALLY_CONSISTENT
44,k5,validation,N96,MRR,0.778957415565345,0.778957415565344,NUMERICALLY_CONSISTENT
44,k5,validation,M1-N96,HR@1,0.6206167400881057,0.6206167400881057,EXACT_MATCH
44,k5,validation,M1-N96,NDCG@5,0.8291123175309281,0.8291123175309154,NUMERICALLY_CONSISTENT
44,k5,validation,M1-N96,MRR,0.7716211453744493,0.7716211453744493,EXACT_MATCH
44,k5,test,N96,HR@1,0.6105726872246696,0.6105726872246696,EXACT_MATCH
44,k5,test,N96,NDCG@5,0.8220727346840422,0.8220727346840286,NUMERICALLY_CONSISTENT
44,k5,test,N96,MRR,0.7624375917767988,0.7624375917767996,NUMERICALLY_CONSISTENT
44,k5,test,M1-N96,HR@1,0.6005286343612335,0.6005286343612335,EXACT_MATCH
44,k5,test,M1-N96,NDCG@5,0.8172676642945212,0.817267664294507,NUMERICALLY_CONSISTENT
44,k5,test,M1-N96,MRR,0.7560587371512482,0.75605873715125,NUMERICALLY_CONSISTENT
44,k20,validation,N96,HR@1,0.2452863436123348,0.2452863436123348,EXACT_MATCH
44,k20,validation,N96,NDCG@5,0.3509868580977669,0.3509868580977709,NUMERICALLY_CONSISTENT
44,k20,validation,N96,MRR,0.38995501935436605,0.38995501935436605,EXACT_MATCH
44,k20,validation,M1-N96,HR@1,0.19418502202643173,0.19418502202643173,EXACT_MATCH
